goods_id,category_id,shop_id,goods_name,goods_describe,sales,discount_deadline,discount_rate,is_valid
18,1,2,Xiaomi 11 Ultra 5G,【享24期免息】小米11 Ultra手机至尊小米11ultra5g手机拍照游戏屏幕小米官方旗舰店小米手机mix安卓新款,0,2100/1/1,1,1
19,1,2,小米平板5,【热销爆品 现货速发】Xiaomi/小米平板5骁龙860学生学习办公游戏娱乐小米官方旗舰店2.5k高清高刷屏平板电脑,0,2100/1/1,1,1
20,1,2,小米平板5 Pro,【稀缺货源 火爆开抢】Xiaomi/小米平板5 Pro新品学生学习办公游戏娱乐屏幕神器小米官网速发平板电脑,0,2100/1/1,1,1
21,1,3,小新 Pad 平板电脑,【价保双12】Lenovo联想平板电脑小新Pad 11英寸网课考研学习娱乐游戏办公 护眼平板电脑 联想官方旗舰店官网,0,2100/1/1,1,1
22,1,3,小新 Pad Pro 平板电脑,【价保双12】联想平板电脑小新Pad Pro 11英寸高清全面屏 安卓学习办公娱乐游戏护眼学生网课平板电脑 官网,0,2100/1/1,1,1
23,1,3,小新 Pro16 锐龙版,【价保双12】联想小新Pro16 锐龙版16英寸2.5K全面屏 R5/R7可选独显 轻薄本学习办公娱乐游戏笔记本电脑,0,2100/1/1,1,1
24,1,3,拯救者 R9000P 游戏本,【价保双12】联想拯救者R9000P 2021 RTX30系独显可选 16英寸游戏本电竞本学生本笔记本电脑 联想官方旗舰店,0,2100/1/1,1,1
25,1,3,小新 Pro16 酷睿标压版,【价保双12】联想小新Pro16 英特尔酷睿i5 16英寸2.5K屏标压游戏设计高性能轻薄本便携商务办公笔记本电脑,0,2100/1/1,1,1
26,1,3,拯救者 R7000 游戏本,【价保双12】联想拯救者R7000 2021 15.6英寸游戏本联想笔记本电脑电竞本R5/R7 RTX3050 4G独显,0,2100/1/1,1,1
27,1,4,Sony Xperia PRO-1,索尼/Sony Xperia PRO-I 摄影旗舰手机索尼手机 智能5G双卡双待手机 索尼官方旗舰店,0,2100/1/1,1,1
28,1,4,Sony Xperia 1 Ⅲ,【官方直营】索尼/Sony Xperia 1 III智能5G手机21:9 4K HDR OLED 骁龙888,0,2100/1/1,1,1
29,1,4,Sony Xperia 5 Ⅲ,【官方直营】索尼/Sony Xperia 5 III 智能5G双卡双待手机索尼手机 8+256GB骁龙888微单技术 索尼官方旗舰店,0,2100/1/1,1,1
30,1,4,Sony Alpha7 Ⅲ A7M3,Sony/索尼 Alpha7 III A7M3 索尼全画幅微单相机 索尼 7m3,0,2100/1/1,1,1
31,1,4,Sony DSC-RX100M3,[官方旗舰]Sony/索尼 DSC-RX100M3 黑卡3 RX100III卡片机数码相机,0,2100/1/1,1,1
32,1,5,MacBook Pro,Apple/苹果 14 英寸 MacBook Pro Apple M1 Pro 8 核中央处理器 14 核图形处理器 16GB 统一内存 512GB 固态硬盘,0,2100/1/1,1,1
33,1,5,MacBook Air,Apple/苹果 13 英寸 MacBook Air Apple M1 芯片，配备 8 核中央处理器和 7 核图形处理器 256GB 存储容量,0,2100/1/1,1,1
34,1,5,iPhone13,Apple/苹果 iPhone 13,0,2100/1/1,1,1
35,1,5,iPhone13 Pro,Apple/苹果 iPhone 13 Pro,0,2100/1/1,1,1
36,1,5,iPhone13 Pro Max,Apple/苹果 iPhone 13 Pro Max,0,2100/1/1,1,1
37,1,5,iPad,Apple/苹果 10.2 英寸 iPad,0,2100/1/1,1,1
38,1,5,iPad Air,Apple/苹果 10.9 英寸 iPad Air,0,2100/1/1,1,1
39,1,5,iPad Pro,Apple/苹果 11 英寸 iPad Pro,0,2100/1/1,1,1
40,1,6,三体全集,【当当网 正版书籍】三体全集共3册 刘慈欣科幻小说 亚洲雨果奖获奖作品 流浪地球三体1三体2黑暗森林三体3死神永生小说畅销,0,2100/1/1,1,1
41,1,6,沙丘,【当当网 正版书籍】三体全集共3册 刘慈欣科幻小说 亚洲雨果奖获奖作品 流浪地球三体1三体2黑暗森林三体3死神永生小说畅销,0,2100/1/1,1,1
42,1,6,乡村教师,乡村教师（刘慈欣科幻系列·纪念珍藏版）,0,2100/1/1,1,1
43,1,6,银河帝国基地七部曲,【当当网 正版包邮】银河帝国基地七部曲 阿西莫夫代表作讲述人类未来两万年的历史初中七年级课外阅读三体刘慈欣经典科幻小说书籍,0,2100/1/1,1,1
44,1,6,克莱因壶,【当当网 正版书籍】克莱因壶 传奇推理作家组合冈岛二人预言之书 日本虚拟现实VR题材开山神作 超前盗梦空间 克莱因壶小说,0,2100/1/1,1,1
45,1,6,球状闪电,【当当网 正版书籍】球状闪电（典藏版）,0,2100/1/1,1,1
46,1,7,计量经济学导论,计量经济学导论：现代观点（第6版）经济科学译丛,0,2100/1/1,1,1
47,1,7,计量经济分析,计量经济分析（第八版）（套装上下册）/经济科学译丛,0,2100/1/1,1,1
48,1,7,米什金 货币金融学,米什金 货币金融学（第十二版）（经济科学译丛）,0,2100/1/1,1,1
49,1,7,人大经管 宏观经济学,人大经管 宏观经济学（第十二版)/经济科学译丛,0,2100/1/1,1,1
50,1,7,曼昆 宏观经济学,人大经管 曼昆 宏观经济学（第十版）（经济科学译丛；“十三五”国家重点出版物出版规划项目）,0,2100/1/1,1,1
51,1,8,线性代数,线性代数（第5版）,0,2100/1/1,1,1
52,1,8,机器学习,机器学习,0,2100/1/1,1,1
53,1,8,MATLAB 数学建模,科学与工程计算技术丛书 MATLAB数学建模,0,2100/1/1,1,1
54,1,8,JAVA 从入门到精通,Java从入门到精通（第6版）（软件开发视频大讲堂）,0,2100/1/1,1,1
55,1,8,代码大全,代码大全2（英文限量珍藏版）,0,2100/1/1,1,1
56,1,9,数据库系统：设计、实现与管理,数据库系统：设计、实现与管理（原书第6版）,0,2100/1/1,1,1
57,1,9,数据库系统概念,数据库系统概念（原书第7版）,0,2100/1/1,1,1
58,1,9,Python学习手册,Python学习手册（原书第5版）,0,2100/1/1,1,1
59,1,9,利用Python进行数据分析,利用Python进行数据分析（原书第2版）,0,2100/1/1,1,1
60,1,9,Python机器学习,Python机器学习（原书第3版）,0,2100/1/1,1,1
61,1,10,病毒 是敌人 更是朋友,新知文库143 病毒 是敌人 更是朋友,0,2100/1/1,1,1
62,1,10,世界七大奇迹：西方现代意象的流变,新知文库138 世界七大奇迹：西方现代意象的流变,0,2100/1/1,1,1
63,1,10,疫苗 医学史上充满争议的大救星,新知文库144 疫苗 医学史上充满争议的大救星,0,2100/1/1,1,1
64,1,10,告别伊甸园,新知文库103 告别伊甸园,0,2100/1/1,1,1
65,1,10,海洋全球史,新知文库142 海洋全球史,0,2100/1/1,1,1
66,1,10,世界战争史套装,新知文库·世界战争史套装,0,2100/1/1,1,1
67,1,11,晚熟的人,晚熟的人 莫言,0,2100/1/1,1,1
68,1,11,围城（精装）,围城（精装） 钱钟书,0,2100/1/1,1,1
69,1,11,朝鲜战争,朝鲜战争 王树增,0,2100/1/1,1,1
70,1,11,复活,复活 名著名译精装,0,2100/1/1,1,1
71,1,11,抗日战争,抗日战争 王树增,0,2100/1/1,1,1
72,1,11,长征,长征 王树增,0,2100/1/1,1,1
73,1,11,悲惨世界,名著名译精装：悲惨世界,0,2100/1/1,1,1
74,1,11,红星照耀中国,红星照耀中国,0,2100/1/1,1,1
75,1,11,罪与罚,名著名译精装：罪与罚,0,2100/1/1,1,1
76,1,11,钢铁是怎样炼成的,名著名译精装：钢铁是怎样炼成的,0,2100/1/1,1,1
77,1,12,尤利西斯,尤利西斯,0,2100/1/1,1,1
78,1,12,红与黑,红与黑,0,2100/1/1,1,1
79,1,12,鼠疫,鼠疫,0,2100/1/1,1,1
80,1,12,理想国,理想国,0,2100/1/1,1,1
81,1,12,漫长的告别,漫长的告别,0,2100/1/1,1,1
82,1,12,局外人,局外人,0,2100/1/1,1,1
83,1,12,呼兰河传,呼兰河传,0,2100/1/1,1,1
84,1,12,刀锋,刀锋,0,2100/1/1,1,1
85,1,12,受戒：汪曾祺小说精选,受戒：汪曾祺小说精选,0,2100/1/1,1,1
86,1,12,消失的13级台阶,消失的13级台阶,0,2100/1/1,1,1
87,1,12,面纱,面纱,0,2100/1/1,1,1
88,1,12,人间失格,人间失格,0,2100/1/1,1,1
89,1,12,战争与和平,战争与和平,0,2100/1/1,1,1
90,1,12,安娜卡列尼娜,安娜卡列尼娜,0,2100/1/1,1,1
91,1,12,高尔基自传三部曲,高尔基自传三部曲,0,2100/1/1,1,1
92,1,13,无人生还,无人生还,0,2100/1/1,1,1
93,1,13,东方快车谋杀案,东方快车谋杀案,0,2100/1/1,1,1
94,1,13,尼罗河上的惨案,尼罗河上的惨案,0,2100/1/1,1,1
95,1,13,罗杰疑案,罗杰疑案,0,2100/1/1,1,1
96,1,13,底牌,底牌,0,2100/1/1,1,1
97,1,13,ABC谋杀案,ABC谋杀案,0,2100/1/1,1,1
98,1,13,斯泰尔斯庄园奇案,斯泰尔斯庄园奇案,0,2100/1/1,1,1
99,1,13,阳光下的罪恶,阳光下的罪恶,0,2100/1/1,1,1
100,1,13,帷幕,帷幕,0,2100/1/1,1,1
